TimeId,timestamp,year,quarter_year,month,week,day,hour,quarter_hour,dayOfWeek,isWeekend,isExtraHourDay,isExtraHour,isMissingHourDay,isMissingHour
2024010323150,2024-01-03 23:15:00,2024,1,1,1,3,23,15,3,0,0,0,0,0
2024010323300,2024-01-03 23:30:00,2024,1,1,1,3,23,30,3,0,0,0,0,0
2024010323450,2024-01-03 23:45:00,2024,1,1,1,3,23,45,3,0,0,0,0,0
2024010400000,2024-01-04 00:00:00,2024,1,1,1,4,0,0,4,0,0,0,0,0
2024010400150,2024-01-04 00:15:00,2024,1,1,1,4,0,15,4,0,0,0,0,0
2024010400300,2024-01-04 00:30:00,2024,1,1,1,4,0,30,4,0,0,0,0,0
2024010400450,2024-01-04 00:45:00,2024,1,1,1,4,0,45,4,0,0,0,0,0
2024010401000,2024-01-04 01:00:00,2024,1,1,1,4,1,0,4,0,0,0,0,0
2024010401150,2024-01-04 01:15:00,2024,1,1,1,4,1,15,4,0,0,0,0,0
2024010401300,2024-01-04 01:30:00,2024,1,1,1,4,1,30,4,0,0,0,0,0
